Behaviour, start_time(ms)
other,1073.4000
dig,1078.7000
other,1079.2500
dig,1080.9000
other,1082.4500
dig,1083.1500
other,1084.2500
dig,1092.8500
other,1094.4500
dig,1139.9500
other,1140.3000
dig,1147.4000
other,1147.7000
groom,1159.5500
other,1159.8500
groom,1161.7500
other,1162.1500
dig,1175.6500
other,1176.1000
dig,1176.5500
other,1177.6500
groom,1182.4500
other,1182.8500
dig,1188.8500
other,1189.2500
rear,1189.5500
other,1190.4500
rear,1194.6000
other,1197.2000
VIDEO_END,1200.0000
